chunk_id,reason,last_raw_response,text_preview
c0006,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","犹如水面上掀起的波浪。 随后，我听到老人粗哑却令人感动的嗓音，他唱起了旧日的歌谣， 先是口依呀啦呀唱出长长的引子，接着出现两句歌词-皇帝招我做女婿，路远迢迢我不去。 因为路途遥远，不愿去做皇帝的女婿。老人的自鸣得意让我失声 而笑。可能是牛放慢了脚步，老人又吆喝起来： "" 二喜，有庆不要偷懒；家珍，凤霞耕得好；苦根也行啊..."
c0007,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}",是很有身份的人， 可他拉屎时就像个穷人了。他不爱在屋里床边的马桶上拉屎，跟牲畜 似的喜欢到野地里去拉屎。每天到了傍晚的时候，我爹打着饱嗝，那 声响和青蛙叫唤差不多，走出屋去，慢吞吞地朝村口的粪缸走去。 走到了粪缸旁，他嫌缸沿脏，就抬脚踩上去蹲在上面。我爹年纪 大了，屎也跟着老了，出来不容易，那时候我们全家人都会听到他在...
c0008,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","，我是徐 家仅有的一根香火，我要是灭了，徐家就得断子绝孙。 上私塾时我从来不走路，都是我家一个雇工背着我去，放学时他 已经恭恭敬敬地弯腰蹲在那里了，我骑上去后拍拍雇工的脑袋，说一声： "" 长根，跑呀。"" 雇工长根就跑起来，我在上面一颠一颠的，像是一只在树梢上的 麻雀。我说一声： "" 飞呀。"" 长根就一步一跳，做出一副飞..."
c0011,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","肠的，你是逼我往死里跑。"" 我咧着嘴频频向两旁哄笑的人点头致礼，来到丈人近前，我一把 扯住鸡的头发： "" 站住，站住。"" 鸡哎唷叫了一声站住脚，我大声对丈人说： 11 "" 岳父大人，女婿给你请个早安。"" 那次我实实在在地把我丈人的脸丢尽了，我丈人当时傻站在那里， 嘴唇一个劲地哆嗦，半晌才沙哑地说一声： "" 祖宗，你快走..."
c0018,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}",家 产这事，脑袋里空空荡荡，像是被捅过的马蜂窝。到了城外，看到那 条斜着伸过去的小路，我又害怕了，我想接下去该怎么办呢？我在那 条路上走了几步，走不动了，看看四周都看不到人影，我想拿根裤带 吊死算啦。这么想着我又走动起来，走过了一棵榆树，我只是看一眼， 根本就没打算去解裤带。其实我不想死，只是找个法子与自己赌气。 我想...
c0019,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","是去怪我爹。 家珍也哭了，她一边替我捶背一边说： "" 只要你以后不赌就好了。"" 我输了个精光，以后就是想赌也没本钱了。我听到爹在那边屋子 里骂骂咧咧，他还不知道自己是穷光蛋了，他嫌两个女人的哭声吵他。 听到我爹的声音，我娘就不哭了，她站起来走出去，家珍也跟了出去。 我知道她们到我爹屋子里去了，不一会我就听到爹在那边喊叫..."
c0021,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","说："" 不必了。"" 说完，他看看我，问我爹： "" 这位是少爷吧？"" 我爹连连点头，他朝我嘻嘻一笑，说道： "" 送货时采些南瓜叶子盖在上面，可别让人抢了。"" 这天开始，我就挑着铜钱走十多里路进城去还债。铜钱上盖着的 南瓜叶是我娘和家珍去采的，凤霞看到了也去采，她挑最大的采了两张， 盖在担子上，我把担子挑起来准备走，凤霞不..."
c0022,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","了一声： "" 少爷。"" 我对他喊："" 别叫我少爷，叫我畜生。"" 他摇摇头说："" 要饭的皇帝也是皇帝，你没钱了也还是少爷。"" 一听这话我刚擦干净脸眼泪又下来了，他也在我身旁蹲下来，捂 着脸呜呜地哭上了。我们在一起哭了一阵后，我对他说： "" 天快黑了，长根你回家去吧。"" 23 长根站了起来，一步一步地走开去，我听到他嗡嗡地..."
c0029,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","： "" 等你娘回来了，就会有五个角了。"" 家里值钱的东西都变卖光了以后，我娘就常常领着凤霞去挖野菜， 我娘挎着篮子小脚一扭一扭地走去，她走得还没有凤霞快。她头发都 白了，却要学着去干从没干过的体力活。 看着我娘拉着凤霞看一步走一步，那小心的样子让我眼泪都快掉 32 出来了。 我想想再不能像从前那样过日子了，我得养活我娘..."
c0031,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}",巴堵住出血的地方，嘴里一个劲儿地数落我，一说得说半晌， 我还不能回嘴，要不她眼泪都会掉出来。 我娘常说地里的泥是最养人的，不光是长庄稼，还能治病。那么 多年下来，我身上那儿弄破了，都往上贴一块湿泥巴。我娘说得对， 不能小看那些烂泥巴，那可是治百病的。 人要是累得整天没力气，就不会去乱想了。租了龙二的田以后， 我一挨到床...
c0032,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","了。长根替我家干了一辈子， 按规矩老了就该由我家养起来。可我家一破落，他也只好离开，只能 要饭过日子。 看到长根回来时的模样，我心里一阵发酸，小时候他整天背着我 走东逛西，我长大后也从没把他放在眼里。没想到他还回来看我们， 我问长根： "" 你还好吧？"" 长根擦擦眼睛说："" 还好。"" 我问："" 还没找到雇你的人家？"" 长..."
c0033,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","也不去赌啦。赌场无赢家，我是见好就 收，免得日后也落到你这种地步。"" 我向龙二哈哈腰，恭敬地说： "" 是龙老爷。"" 龙二指指凤霞，问道： "" 这是你的崽子吗？"" 我又哈哈腰，说一声： "" 是，龙老爷。"" 我看到凤霞站在那里，手里拿着稻穗，直愣愣地盯着龙二看，就 赶紧对她说： "" 凤霞，快向龙老爷行礼。"" 凤霞也学我的样..."
c0054,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}",送有庆去念书，我和家珍着实犹豫了一阵，没有钱啊。 凤霞那时才十二三岁，虽说也能帮我干点田里活，帮家珍干些家里活， 可总还是要靠我们养活。我就和家珍商量是不是把凤霞送给别人算了， 好省下些钱供有庆念书。别看凤霞听不到，不会说，她可聪明呢，我 和家珍一说起把凤霞送人的事，凤霞马上就会扭过头来看我们，两只 眼睛一眨一眨，看得...
c0056,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","庆不干了。起先凤霞被人领走时，有庆瞪着眼睛还 不知道出了什么事，直到凤霞走远了，他才挠着头一步一步往回走。 60 我看到他朝我这里张望几下，就是不过来问我。他还在家珍肚子里时 我就打过他，他看到我怕。 吃午饭时，桌子旁没有了凤霞，有庆吃了两口就不吃了，眼睛对 着我和家珍转来转去，家珍对他说： "" 快吃。"" 他摇摇小脑袋..."
c0057,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","快去吃饭吧。"" 过了两个月，有庆上学的日子到了。凤霞被领走时穿了一件好衣服， 有庆上学了还是穿得破破烂烂，家珍做娘的心里怪难受的，她蹲在有 庆跟前，替他这儿拉拉，那儿拍拍，对我说： "" 都没件好衣服。"" 谁想到有庆这时候又说： "" 我不上学。"" 都过去了两个月，我以为他早忘了凤霞的事，到了上学这一天， 他又这么叫了。这..."
c0058,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","太重了。到饭快吃完的时候， 有庆叫了我一声： "" 爹。"" 他说："" 老师要我自己来告诉你们，老师批评我了，说我坐在凳子 上动来动去，不好好念书。"" 我一听火就上来了，凤霞都送给了别人，他还不好好念书。我把 碗往桌上一拍，他先哭了，哭着对我说： "" 爹，你别打我。我是屁股疼得坐不下去。"" 我赶紧把他裤子剥下来一看，有庆的..."
c0059,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","凤霞嘴上，像是打他姐姐巴掌似的。凤霞睡 着后像只小猫，又乖又安静，一动不动。 有庆早晨醒来一看到他姐姐，使劲搓眼睛，搓完眼睛看看还是凤霞， 衣服不穿就从床上跳下来，张着个嘴一声声喊： "" 姐姐，姐姐。"" 这孩子一早晨嘻嘻笑个不停，家珍让他快点吃饭，还要上学去。 他就笑不出来了，偷偷看了我一眼，低声问家珍： "" 今天不上..."
c0060,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","， 凤霞的小胳膊勾住我的脖子，走了一段她突然紧紧抱住了我，她知道 我是带她回家了。 回到家里，家珍看到我们怔住了，我说： "" 就是全家都饿死，也不送凤霞回去。"" 家珍轻轻地笑了，笑着笑着眼泪掉了出来。 65 三 有庆念了两年书，到了十岁光景，家里日子算是好过一些了，那 时凤霞也跟着我们一起下地干活，凤霞已经能自己养活自..."
c0066,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","钢铁的地方算是腾出来了，去城里买锅的也回来了。他们买了 一只汽油桶回来，村里很多人以前没见过汽油桶，看着都很稀奇，问 这是什么玩意，我以前打仗时见过，就对他们说： "" 这是汽油桶，是汽车吃饭用的饭碗。"" 队长用脚踢踢汽车的饭碗，说： "" 太小啦。"" 买来的人说："" 没有更大的了，只能一锅一锅煮了。"" 队长是个喜欢听道理..."
c0068,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","打回来，吃完 了去接替人家，我怕去晚了人家会说闲话。可是家珍和凤霞打了饭菜 回来，左等右等不见有庆回来，家珍站在门前喊得额头都出汗了，我 知道这孩子准是割了草送到羊棚去了。我对家珍说： "" 你们先吃。"" 说完我出门就往村里羊棚去，心想这孩子太不懂事了，不帮着家 珍干些家里的活，整天就知道割羊草，胳膊一个劲地往外拐。我走..."
c0074,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","我不想念书了。"" 我一听脸就沉下了，说： "" 不行。"" 其实让有庆退学，我也是想过的，我打消这个念头是为了家珍， 有庆不念书，家珍会觉得是自己病拖累他的。我对有庆说： "" 你不好好念书，我就宰了你。"" 说过这话后，我有些后悔，有庆还不是为了家里才不想念书的， 这孩子十二岁就这么懂事了，让我又高兴又难受，想想以后再不能随..."
c0076,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}",养人的，能肥田，到 了春天剪了羊毛还能卖钱。再说也是为了有庆，要是给这孩子买一头 82 羊羔回来，他不知道会有多高兴。 我跟家珍一商量，家珍也高兴，说你快去买吧。当天下午，我将 钱揣在怀里就进城去了。我在城西广福桥那边买了一头小羊，回来时 路过有庆他们的学校，我本想进去让有庆高兴高兴，再一想还是别进 去了，上次在学校出...
c0083,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","： "" 娘，我饿得走不动了。"" 家珍上哪儿去给有庆找吃的，只好对他说： "" 有庆，你就去喝几口水填填肚子吧。"" 有庆也只能到池塘边去咕咚咕咚地喝一肚子水来充饥了。 凤霞跟着我，扛着把锄头去地里掘地瓜。那些田地不知道被翻过 多少遍了，可村里的人还都用锄头去掘，有时干一天也只是掘出一根 烂瓜藤来。凤霞也饿得慌，脸都青了，看..."
c0085,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","那可是救命稻草。家里断粮都有一个月了，田里能吃的也 都吃得差不多了，那年月拿命去换一碗饭回来也都有人干。 和王四争地瓜的第二天，家珍拄着根树枝走出了村口，我在田里 见了问她去哪。 "" 我进城去看看爹。"" 做女儿的想去看爹，我想拦也不能拦，看着她走路都费劲的模样， 我说： "" 让凤霞也去，路上能照应你。"" 家珍听了这话头..."
c0088,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","来 还很新。后来我才知道她把自己的衣服也拆了，看到我生气，她笑了 笑说： "" 衣服不穿坏起来快。我是不会穿它们了，可不能跟着我糟 蹋了。"" 家珍说也给我做一件，谁知我的衣服没做完，家珍连针都拿不起了。 那时候凤霞和有庆睡着了，家珍还在油灯下给我缝衣服，她累得脸上 都是汗，我几次催她快睡，她都喘着气摇头，说是快了。结果针..."
c0102,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","发呆，村里几个年轻人就对凤霞指指点点，笑话她。 村里王家三儿子娶亲时，都说新娘漂亮。那天新娘被迎进村里来时， 穿着大红的棉袄，哧哧笑个不停。我在田里望去，新娘整个儿是个红 人了，那脸蛋红扑扑特别顺眼。 田里干活的人全跑了过去，新郎从口袋里摸出飞马牌香烟，向年 长的男人敬烟，几个年轻人在一旁喊： "" 还有我们，还有我们。..."
c0104,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","就喊： "" 家珍，家珍。"" 家珍坐在床上以为出了什么事，看着我眼睛都睁圆了，我说： "" 凤霞有男人啦。"" 家珍这才松了口气，说： "" 你吓死我了。"" 114 我说："" 不缺腿，胳膊也全，还是城里人呢。"" 说完我呜呜地哭了，家珍先是笑，看到我哭，眼泪也流了出来。 高兴了一阵，家珍问： "" 条件这么好，会要凤霞吗？"" 我说..."
c0106,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}",着两瓶白酒。 那时候我才知道二喜东张西望不是嫌我家穷，他连我屋前的草垛 子都看到眼里去了。屋顶的茅草我早就想换了，只是等着农闲到来时 好请村里人帮忙。 二喜带了五个人来，肉也买了，酒也备了，想得周到。他们来到 我们茅屋门口，放下板车，二喜像是进了自己家一样，一手提着猪头， 一手提着小方桌，走了进去，他把猪头往桌上一放，...
c0111,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","，家珍拉住 她的手摸个没完，一遍遍说凤霞长胖了，其实十来天工夫能长多少肉？ 我对二喜说： "" 没想到你们会来，一点准备都没有。"" 二喜嘿嘿地笑，他说他也不知道会来，是凤霞拉着他，他糊里糊 涂地跟来了。 凤霞嫁出去没过十天就回来，我们也不管什么老规矩了，我是三 天两头往城里跑，说起来是家珍要我去的，我自己也想着要常去看看..."
c0127,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","就更精了，一看到别的孩子手里有什 么好玩的，嘻嘻笑着拚命招手，说： "" 来，来，来。"" 别的孩子走到他跟前，他伸手便要去抢人家里的东西，人家不给他， 他就翻脸，气冲冲地赶人家走，说： "" 走，走，走。"" 没了凤霞，二喜是再也没有回过魂来，他本来说话不多，凤霞一死， 他话就更少了，人家说什么，他嗯一下算是也说了，只有见到..."
c0134,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","他，叫他 别再躺着，苦根说： "" 我头晕。"" 我想就让他躺一会吧，可苦根一躺下便不起来了，我有些生气， 就说： "" 苦根，棉花今天不摘完，牛也买不成啦。"" 苦根这才站起来，对我说： "" 我头晕得厉害。"" 148 我们一直干到中午，看看大半亩棉花摘了下来，我放心了许多， 就拉着苦根回家去吃饭，一拉苦根的手，我心里一怔，赶..."
c0137,illegal topic: 贫穷生存压力,"{""topics"": [""贫穷生存压力""]}","住缰绳对那个男人说： "" 你数数钱。"" 那人把钱举到眼前像是看看有多厚，看完他说： "" 不数了，你拉走吧。"" 151 我便拉着牛走去，他们在后面乱哄哄地笑，我听到那个男人说： "" 今天合算，今天合算。"" 牛是通人性的，我拉着它往回走时，它知道是我救了它的命，身 体老往我身上靠，亲热得很，我对它说： "" 你呀，先别这么高..."
